SexParent	ArrivalTime	NegPerChick
Male	24.26	0
Male	24.3	0
Male	22.36	0
Male	22.45	0
Female	22.66	4.75
Male	22.68	4.75
Male	22.75	4.75
Female	22.76	2
Female	23.05	2.25
Male	23.48	0.25
Male	23.65	1
Male	23.8	0.75
Male	23.9	0.75
Male	24.05	1.5
Female	24.08	1.5
Male	24.25	1.5
Female	24.58	0
Female	24.68	0
Male	24.73	0
Male	25.11	0.75
Male	25.26	0
Male	26.36	1
Male	26.6	1
Male	26.71	1
Male	26.95	3.5
Male	27.1	1.25
Female	27.25	2
Male	27.38	4
Male	22.46	1.2
Female	22.83	1.8
Male	22.91	0.2
Male	23.08	2.2
Male	23.75	2.2
Male	23.91	2.4
Male	25.26	2.4
Male	25.56	0.4
Female	26.85	1.8
Male	28.78	0
Female	23.15	8
Female	23.25	8
Female	23.8	1.5
Female	24.05	0
Female	24.53	0
Male	24.55	0
Male	24.81	0
Female	24.85	2.5
Female	25.1	4.5
Female	25.8	5
Male	26.3	1.5
Male	27.23	0
Female	27.4	0
Male	27.61	0
Male	28.78	1
Female	22.51	3
Female	22.63	3
Female	22.68	1
Female	22.76	8.5
Female	22.91	1.5
Female	23.06	0
Female	23.28	0
Female	23.81	0
Female	23.96	0
Female	25.88	0
Female	26.78	0
Female	27.63	0
Female	28.26	0
Male	22.66	0.6
Female	23.11	1.8
Male	23.16	0
Female	23.41	0
Male	25.58	2.4
Male	25.9	0
Male	25.93	0.4
Female	26.16	2.2
Male	26.33	1
Male	26.56	0.6
Female	26.6	0
Female	26.75	0.6
Male	26.83	0.6
Female	26.98	0
Male	27.48	0
Female	27.51	0
Female	28	0
Male	28.8	0
Male	28.98	0.4
Male	21.78	0
Male	21.81	0
Male	22.3	1
Male	22.31	0
Male	22.51	3.33333333
Male	22.63	3.33333333
Male	23.06	3.33333333
Male	23.38	0
Male	23.41	0
Male	23.68	3.66666667
Male	24.03	0
Male	24.43	0
Male	26.55	0
Female	26.76	0
Male	27.45	0
Male	27.6	3.66666667
Male	28.26	2
Male	22.36	2.25
Female	22.38	5.75
Male	22.68	3.75
Male	22.76	0.5
Male	22.81	3
Male	22.9	3
Male	22.98	3
Female	23.03	0
Female	23.38	0
Female	23.45	0
Female	23.51	3.5
Male	23.56	3.5
Female	23.6	3.5
Male	24.25	0.5
Male	25.05	3.25
Female	25.1	0
Female	25.36	0.25
Male	26.2	0
Male	26.5	1
Female	26.61	2
Male	26.81	0.25
Male	26.85	0
Male	27.08	1
Female	27.16	0
Female	27.53	1.25
Female	28.03	2
Female	28.13	2.25
Male	28.26	1.75
Male	28.4	1.75
Male	22.31	4
Female	22.51	3.25
Male	22.55	3.25
Male	22.98	3.75
Male	23.01	3.5
Male	23.15	3.5
Female	23.25	1.5
Female	23.63	3.75
Male	23.66	3.75
Male	23.7	1.5
Female	24.4	0
Male	24.85	0.25
Female	25.13	0
Male	26.78	2.25
Male	26.93	2.25
Male	27.31	0.75
Male	28.58	0.5
Male	22.28	3
Female	22.53	1.5
Male	22.65	1.5
Male	22.73	3.25
Female	22.98	7
Male	23.35	0
Female	23.4	1.5
Male	23.86	0
Male	24.23	0.75
Female	24.31	0.5
Male	24.41	1
Female	24.48	1
Female	24.58	2
Male	24.63	2
Female	25.13	3.25
Male	25.53	1.75
Male	25.58	1
Female	25.63	0
Female	25.68	0
Male	25.86	3
Male	25.96	1
Male	26.06	4.25
Male	26.38	1.75
Male	26.53	1.25
Male	26.76	0.25
Male	27.38	0
Male	27.46	0
Male	22.7	1.2
Male	22.95	3
Male	23.11	3.4
Male	23.33	2
Female	23.55	0.4
Male	23.6	3
Male	23.63	0.4
Male	23.81	2
Male	24.05	0
Male	24.06	1.4
Male	24.08	1.4
Male	24.2	1.4
Male	24.3	3
Male	24.35	1
Male	24.43	1
Male	24.48	3
Male	24.61	3.8
Male	24.66	0
Male	24.7	3.8
Male	24.81	2.4
Male	24.85	2
Male	24.9	2.4
Male	24.96	2
Male	25.03	4
Male	25.1	4
Female	25.36	1.4
Male	25.38	1.4
Male	25.55	4.4
Male	25.73	4.4
Male	25.9	0.8
Female	26.55	2.8
Male	26.83	0.8
Female	26.91	0
Male	26.93	0
Male	27.23	0.4
Male	27.43	0
Male	27.56	2.4
Male	27.83	0.8
Female	28.3	0.4
Male	28.38	0.4
Female	28.86	0.2
Female	22.23	0.75
Female	22.26	6
Male	22.5	6
Male	22.51	3.5
Male	22.58	3.5
Male	22.6	3.5
Male	22.61	3.5
Female	22.63	3.5
Male	22.66	3.5
Male	22.78	3.5
Male	22.86	3.5
Female	22.93	3.5
Male	23.1	0
Male	23.4	0
Female	23.78	0
Female	23.8	0
Male	25.7	0.75
Male	25.83	0
Male	26.23	1.5
Male	26.41	4.25
Male	27.25	1.25
Male	27.53	0
Male	27.73	0
Male	27.96	0.75
Female	21.76	2.2
Female	22.13	3.4
Female	22.28	3.4
Female	22.38	0.4
Male	22.4	2.4
Female	22.61	2.4
Male	22.73	2.6
Female	22.85	2
Female	22.96	3.2
Male	23.08	3
Male	23.1	2.4
Male	23.43	2.2
Male	23.65	0
Female	23.65	0
Male	23.7	1.4
Female	23.83	1.2
Male	23.96	1.2
Male	24.11	0
Female	24.13	0
Male	24.2	1
Male	24.41	1
Male	24.56	1.4
Female	24.73	0.4
Male	24.9	6.4
Male	24.93	1.2
Male	25.08	6.4
Female	25.16	1
Female	25.2	1.4
Male	25.2	1.4
Male	25.45	1
Female	25.51	0
Male	25.68	0.6
Male	25.76	1.4
Female	25.8	2.8
Female	26	1.2
Male	26	1.2
Male	26	2.8
Male	26.03	0
Female	26.1	0
Male	26.28	2.6
Female	26.4	2.6
Male	26.55	0
Female	26.63	0.8
Male	26.75	0.8
Male	26.8	0
Male	26.98	0
Male	27.13	2
Female	27.31	2
Female	27.83	1.2
Male	28.03	0.4
Female	28.25	0
Female	28.86	0
Male	22.08	1.2
Female	22.15	1.2
Female	22.61	1.6
Male	22.63	1.6
Female	22.71	1.6
Male	22.78	1.6
Male	22.88	1.4
Female	23.01	3
Male	23.03	1.6
Female	23.1	1.6
Female	23.35	0
Male	23.43	0
Male	23.68	0.2
Male	24.1	1.6
Male	24.35	1
Male	24.48	1
Male	25	1.4
Male	25.05	2
Male	25.26	2.8
Female	25.35	0
Female	25.36	2.8
Male	25.51	0
Male	25.85	0
Male	26.31	0
Male	27.53	0
Female	22.01	1.5
Female	22.06	0
Male	22.26	2.5
Male	22.35	4.5
Male	22.38	4.5
Male	22.48	4.5
Male	22.5	4.5
Male	22.58	2.75
Male	22.7	1.75
Male	22.95	2.75
Male	23.78	2.25
Male	24.05	1.5
Male	24.31	1.5
Female	25.06	0
Male	25.33	0
Male	25.35	0.25
Female	28.2	1.75
Female	22.13	0.16666667
Female	22.43	2.66666667
Male	22.46	2.66666667
Female	22.83	0.33333333
Male	22.85	0.33333333
Female	23.03	4.33333333
Male	23.35	0.16666667
Male	23.55	1.33333333
Female	23.6	1.33333333
Male	23.81	2.16666667
Male	24.01	0.33333333
Female	24.23	2.5
Male	24.43	1.33333333
Female	24.45	0
Male	24.55	1.66666667
Male	24.93	1
Male	24.95	1.16666667
Male	25.8	0.33333333
Male	26	0.33333333
Male	26.01	2.83333333
Male	26.16	1.83333333
Male	26.33	2.16666667
Female	27.1	0.66666667
Male	27.11	0
Female	27.4	1
Female	27.63	4.33333333
Male	22.86	6
Female	23.85	3
Male	26	6
Male	27.96	1
Female	22.51	0.5
Male	22.51	0.5
Female	22.55	3
Female	23.03	0
Female	23.03	0.25
Male	23.3	0.5
Female	23.35	1.5
Female	23.61	0.25
Female	23.66	2.25
Female	23.85	2
Female	24.06	1.5
Female	24.38	0
Female	24.38	0
Female	25.11	1
Female	25.3	0
Female	25.36	0.75
Female	26.16	1.25
Female	26.83	0
Male	27.25	0
Female	27.43	0.25
Female	27.43	2.25
Female	27.71	3
Female	27.91	2
Female	22.05	3.2
Female	22.43	0.2
Male	22.73	2.4
Female	22.9	5
Male	23.2	3.2
Female	23.45	4
Male	23.73	4.6
Female	24.15	0.4
Female	24.36	2.2
Female	24.5	2.2
Male	24.6	0.6
Male	24.93	3.6
Female	25.28	1
Female	25.8	0.2
Male	25.86	0.2
Female	26.1	1.6
Male	27.66	0
Female	27.76	2.2
Female	27.93	2.2
Female	21.71	1.42857143
Female	21.73	1.42857143
Female	21.91	2.42857143
Male	21.93	2.42857143
Female	21.95	2.42857143
Male	21.96	0.85714286
Female	22.18	2.71428571
Male	22.28	0.57142857
Male	22.3	4.42857143
Male	22.5	4.42857143
Male	22.56	1.42857143
Female	22.6	3.28571429
Male	22.6	3.28571429
Male	22.9	2.14285714
Male	23.25	0
Female	23.46	0.85714286
Female	23.53	0.14285714
Female	23.63	0.14285714
Male	24	1.28571429
Male	24.31	0.85714286
Male	24.56	1.14285714
Male	24.73	1.42857143
Male	25.25	0.57142857
Female	25.41	1.57142857
Female	25.56	1.28571429
Female	25.76	2
Male	26.15	1.85714286
Male	26.76	3.14285714
Male	27.23	1
Female	27.25	1
Male	28.45	0.71428571
Female	28.86	2.14285714
Male	29.21	1.42857143
Female	29.23	0
