Sample	Month	GSI
463	4	0.0966
464	2	0.0941
465	3	0.0934
466	2	0.0929
467	2	0.0928
468	1	0.0922
469	1	0.0921
470	2	0.0916
471	2	0.0907
472	1	0.0903
473	3	0.0899
474	1	0.0888
475	4	0.0882
476	2	0.0881
477	2	0.0877
478	1	0.0873
479	1	0.0866
480	2	0.0835
481	2	0.0827
482	2	0.0817
483	2	0.0817
484	1	0.0812
485	2	0.0812
486	1	0.0803
487	2	0.0799
488	1	0.079
489	4	0.0784
490	2	0.0775
491	3	0.0774
492	1	0.0765
493	3	0.0758
494	1	0.0738
495	2	0.0732
496	3	0.0725
497	3	0.0725
498	5	0.0723
499	1	0.0711
500	4	0.0706
501	2	0.0705
502	3	0.0703
503	3	0.0669
504	1	0.0667
505	1	0.0659
506	1	0.0647
507	1	0.0634
508	1	0.0631
509	3	0.0616
510	5	0.0613
511	4	0.0602
512	2	0.0594
513	2	0.0592
514	2	0.0583
515	2	0.0554
516	1	0.0553
517	3	0.0536
518	2	0.053
519	1	0.0526
520	3	0.0524
521	3	0.0503
522	2	0.05
523	5	0.05
524	1	0.0488
525	1	0.0478
526	2	0.0476
527	1	0.047
528	4	0.0456
529	4	0.0423
530	1	0.0419
531	6	0.0411
532	4	0.041
533	1	0.0408
534	1	0.0378
535	1	0.0375
536	2	0.0362
537	1	0.0334
538	1	0.0319
539	1	0.0276
540	1	0.0258
541	3	0.0239
542	4	0.0218
543	2	0.019
544	6	0.0167
545	5	0.0131
546	10	14.6
547	8	13.3074
548	10	11.225
549	11	11.1708
550	10	10.7293
551	12	10.6573
552	11	10.6325
553	11	10.59
554	11	10.4276
555	11	10.2038
556	10	10.1988
557	9	10.1976
558	10	10.1789
559	11	10.1307
560	11	10.1166
561	12	10.0938
562	11	10.0905
563	11	10.0262
564	11	9.972
565	11	9.93
566	8	9.9144
567	10	9.7788
568	11	9.7327
569	12	9.7176
570	11	9.7035
571	11	9.6587
572	11	9.4322
573	9	9.3054
574	9	9.2767
575	10	9.2433
576	9	9.1313
577	11	9.0969
578	10	9.0965
579	12	9.0909
580	10	9.0322
581	10	9.0079
582	11	8.9569
583	8	8.9543
584	10	8.9538
585	10	8.9294
586	10	8.9104
587	1	8.9062
588	11	8.8865
589	8	8.879
590	10	8.8491
591	9	8.8315
592	9	8.8053
593	7	8.8048
594	10	8.8013
595	9	8.7673
596	10	8.7549
597	9	8.7542
598	9	8.7367
599	10	8.7097
600	11	8.664
601	10	8.6215
602	11	8.6
603	9	8.5628
604	8	8.5152
605	9	8.5134
606	11	8.4985
607	10	8.4758
608	11	8.4266
609	10	8.4189
610	10	8.4173
611	9	8.3025
612	11	8.2971
613	10	8.2877
614	10	8.2424
615	10	8.2401
616	9	8.1204
617	10	8.0685
618	12	8.0288
619	8	8.0225
620	11	8.0076
621	10	7.945
622	10	7.9392
623	8	7.9077
624	8	7.9034
625	8	7.8582
626	11	7.8447
627	8	7.8097
628	9	7.7826
629	10	7.7584
630	8	7.7181
631	8	7.678
632	9	7.6166
633	8	7.604
634	9	7.5614
635	10	7.5339
636	10	7.5299
637	7	7.5255
638	4	7.5117
639	8	7.5004
640	7	7.4852
641	8	7.4599
642	8	7.4558
643	8	7.4291
644	9	7.4249
645	9	7.4224
646	9	7.4135
647	11	7.4016
648	9	7.3868
649	11	7.3199
650	10	7.2993
651	9	7.2794
652	9	7.2709
653	8	7.2448
654	8	7.1947
655	7	7.1582
656	11	7.1026
657	5	7.0812
658	8	7.0273
659	7	7.0265
660	11	7.0214
661	7	6.9979
662	5	6.9136
663	11	6.9135
664	4	6.911
665	8	6.9016
666	9	6.8942
667	8	6.8237
668	9	6.7927
669	9	6.7219
670	9	6.711
671	6	6.7063
672	8	6.6955
673	7	6.6588
674	8	6.6495
675	6	6.5806
676	6	6.5679
677	8	6.5431
678	8	6.4971
679	7	6.4719
680	7	6.4449
681	7	6.3901
682	7	6.383
683	8	6.3081
684	7	6.3078
685	7	6.2636
686	6	6.2545
687	7	6.2097
688	5	6.1898
689	4	6.1536
690	7	6.152
691	8	6.139
692	9	6.1292
693	6	6.1186
694	9	6.0948
695	11	6.0284
696	7	6.0248
697	7	6.0235
698	7	6.0143
699	7	6.0088
700	4	5.9291
701	8	5.9063
702	7	5.8643
703	6	5.8346
704	7	5.8089
705	8	5.7561
706	7	5.7408
707	7	5.7189
708	7	5.7174
709	4	5.6927
710	7	5.6646
711	7	5.6126
712	7	5.5757
713	5	5.5693
714	11	5.5599
715	11	5.5434
716	9	5.5
717	6	5.485
718	4	5.4841
719	8	5.4529
720	5	5.4476
721	7	5.4454
722	8	5.4329
723	11	5.4161
724	5	5.4065
725	7	5.3348
726	4	5.3312
727	6	5.3281
728	7	5.32
729	7	5.2834
730	5	5.282
731	6	5.2475
732	7	5.2422
733	5	5.189
734	4	5.1216
735	6	5.0929
736	4	5.0718
737	7	5.0496
738	11	5.0368
739	4	5.0271
740	7	4.9942
741	7	4.9345
742	4	4.9102
743	6	4.9
744	7	4.8643
745	6	4.8603
746	6	4.8378
747	4	4.7322
748	7	4.7244
749	4	4.7208
750	6	4.6941
751	4	4.6708
752	4	4.6544
753	4	4.5635
754	5	4.5419
755	6	4.437
756	7	4.4284
757	7	4.4048
758	5	4.3976
759	5	4.347
760	5	4.3077
761	4	4.2684
762	5	4.2373
763	10	4.2144
764	6	4.2037
765	11	4.1906
766	6	4.128
767	5	4.0954
768	6	4.0436
769	4	3.9318
770	6	3.8958
771	11	3.8598
772	6	3.8577
773	9	3.804
774	4	3.7853
775	4	3.7213
776	4	3.5885
777	6	3.5856
778	8	3.5826
779	6	3.5465
780	5	3.5327
781	5	3.4815
782	6	3.4803
783	4	3.4779
784	6	3.4387
785	8	3.3895
786	8	3.3839
787	8	3.3324
788	6	3.2799
789	4	3.2536
790	6	3.2492
791	6	3.2383
792	8	3.2333
793	11	3.2161
794	8	3.1991
795	5	3.1264
796	11	3.1242
797	5	3.1201
798	4	3.0638
799	10	3.0116
800	8	2.9792
801	6	2.9623
802	6	2.9531
803	8	2.9504
804	5	2.9428
805	6	2.8932
806	5	2.893
807	6	2.8892
808	6	2.865
809	7	2.8257
810	6	2.8067
811	8	2.7965
812	5	2.7759
813	5	2.7649
814	5	2.7588
815	8	2.7189
816	11	2.7134
817	6	2.7084
818	4	2.7035
819	5	2.7023
820	6	2.6864
821	4	2.6559
822	6	2.6494
823	8	2.6463
824	5	2.6269
825	10	2.6265
826	7	2.603
827	9	2.5842
828	12	2.569
829	8	2.568
830	8	2.555
831	5	2.5483
832	9	2.5396
833	5	2.521
834	11	2.502
835	7	2.496
836	5	2.4848
837	10	2.4796
838	7	2.4732
839	6	2.4703
840	6	2.4701
841	4	2.436
842	5	2.4307
843	12	2.4254
844	6	2.4221
845	4	2.4193
846	4	2.4151
847	2	2.4094
848	6	2.409
849	7	2.4
850	4	2.4
851	9	2.3826
852	10	2.3697
853	5	2.3689
854	5	2.3632
855	7	2.3571
856	10	2.3504
857	7	2.3484
858	9	2.3468
859	9	2.3456
860	7	2.3423
861	6	2.3414
862	8	2.329
863	4	2.3209
864	7	2.3194
865	4	2.319
866	4	2.3173
867	4	2.3154
868	10	2.3117
869	6	2.2992
870	5	2.29
871	6	2.289
872	5	2.2888
873	7	2.2852
874	4	2.2779
875	10	2.272
876	5	2.2706
877	6	2.2665
878	5	2.255
879	10	2.252
880	7	2.251
881	5	2.2506
882	5	2.2494
883	4	2.2451
884	4	2.2393
885	11	2.2375
886	6	2.2339
887	5	2.2302
888	6	2.2302
889	6	2.2294
890	4	2.2184
891	6	2.2135
892	12	2.2048
893	10	2.1835
894	6	2.1727
895	4	2.1721
896	4	2.1643
897	5	2.1564
898	7	2.1554
899	4	2.1478
900	5	2.1454
901	11	2.1439
902	7	2.1304
903	10	2.1282
904	1	2.1271
905	4	2.1256
906	6	2.1238
907	11	2.1196
908	7	2.1129
909	6	2.1115
910	5	2.1114
911	6	2.1047
912	7	2.1038
913	7	2.0966
914	9	2.0756
915	8	2.0749
916	4	2.0739
917	11	2.0737
918	7	2.0617
919	6	2.0602
920	8	2.0575
921	8	2.0431
922	6	2.0397
923	4	2.0371
924	5	2.0327
925	7	2.0273
926	5	2.0221
927	10	2.0191
928	9	2.0055
929	5	1.9916
930	5	1.9895
931	12	1.9881
932	10	1.9869
933	7	1.9832
934	6	1.9804
935	8	1.9753
936	3	1.9749
937	4	1.9736
938	7	1.9686
939	5	1.9477
940	5	1.9355
941	4	1.9303
942	6	1.9168
943	7	1.9115
944	5	1.9009
945	7	1.8922
946	10	1.8892
947	8	1.8816
948	8	1.8812
949	4	1.8762
950	9	1.8723
951	10	1.8715
952	5	1.8639
953	8	1.8637
954	3	1.858
955	8	1.8573
956	11	1.8508
957	12	1.8493
958	4	1.8493
959	4	1.849
960	4	1.8437
961	7	1.8413
962	6	1.841
963	12	1.8365
964	5	1.8358
965	1	1.8265
966	6	1.8201
967	6	1.8173
968	7	1.8169
969	7	1.8149
970	9	1.8121
971	5	1.8105
972	12	1.8052
973	7	1.8042
974	7	1.7939
975	2	1.7916
976	6	1.783
977	9	1.7814
978	9	1.7798
979	10	1.7679
980	6	1.7654
981	11	1.7638
982	7	1.7584
983	8	1.7573
984	5	1.7569
985	9	1.7565
986	10	1.7509
987	3	1.7441
988	12	1.7403
989	4	1.7374
990	5	1.7279
991	8	1.725
992	8	1.7231
993	4	1.7095
994	4	1.7088
995	5	1.6981
996	5	1.6972
997	4	1.6887
998	4	1.6842
999	10	1.6798
1000	7	1.6773
1001	6	1.6757
1002	4	1.6756
1003	4	1.6677
1004	10	1.6665
1005	9	1.6569
1006	6	1.647
1007	6	1.6434
1008	6	1.6369
1009	4	1.6362
1010	8	1.6339
1011	4	1.6271
1012	4	1.6181
1013	4	1.6029
1014	8	1.6019
1015	10	1.598
1016	3	1.5924
1017	7	1.5875
1018	3	1.5849
1019	5	1.5675
1020	8	1.5648
1021	4	1.5648
1022	4	1.5572
1023	10	1.5565
1024	4	1.556
1025	8	1.5558
1026	10	1.5537
1027	4	1.5511
1028	11	1.5495
1029	7	1.5489
1030	6	1.5076
1031	4	1.5064
1032	1	1.496
1033	5	1.4882
1034	7	1.4822
1035	5	1.4806
1036	6	1.4774
1037	11	1.4619
1038	4	1.4616
1039	5	1.4599
1040	9	1.4595
1041	5	1.4593
1042	9	1.4565
1043	4	1.4526
1044	8	1.4433
1045	6	1.4415
1046	6	1.4373
1047	4	1.436
1048	5	1.4353
1049	8	1.4274
1050	4	1.4265
1051	7	1.425
1052	6	1.4226
1053	6	1.4199
1054	4	1.4111
1055	4	1.4027
1056	9	1.378
1057	4	1.3639
1058	9	1.356
1059	3	1.354
1060	1	1.3431
1061	4	1.3344
1062	6	1.3344
1063	6	1.3301
1064	8	1.3296
1065	4	1.3225
1066	10	1.317
1067	6	1.3024
1068	4	1.2938
1069	6	1.2921
1070	3	1.2878
1071	9	1.2746
1072	11	1.274
1073	4	1.2738
1074	9	1.2643
1075	9	1.2627
1076	10	1.2578
1077	10	1.2577
1078	4	1.2571
1079	4	1.2553
1080	4	1.2548
1081	4	1.245
1082	11	1.2433
1083	4	1.2388
1084	9	1.2372
1085	9	1.2295
1086	9	1.2277
1087	2	1.2256
1088	9	1.2184
1089	4	1.216
1090	4	1.2039
1091	10	1.2014
1092	4	1.1938
1093	2	1.1826
1094	2	1.1799
1095	4	1.1797
1096	6	1.1776
1097	3	1.1711
1098	9	1.1705
1099	6	1.1677
1100	6	1.1673
1101	4	1.1665
1102	6	1.1631
1103	10	1.1624
1104	11	1.155
1105	4	1.1547
1106	11	1.1529
1107	7	1.1433
1108	4	1.1393
1109	3	1.1351
1110	7	1.1335
1111	11	1.1237
1112	4	1.1199
1113	11	1.1186
1114	12	1.1177
1115	6	1.1131
1116	3	1.1111
1117	3	1.1053
1118	7	1.1043
1119	4	1.103
1120	9	1.0943
1121	4	1.0943
1122	10	1.0929
1123	6	1.0818
1124	11	1.0801
1125	5	1.0789
1126	2	1.0759
1127	4	1.0759
1128	4	1.0696
1129	3	1.064
1130	10	1.0596
1131	4	1.0578
1132	4	1.0506
1133	12	1.0487
1134	4	1.0471
1135	3	1.0435
1136	6	1.0383
1137	4	1.0367
1138	6	1.0294
1139	4	1.0289
1140	6	1.0276
1141	11	1.0243
1142	5	1.0235
1143	11	1.0145
1144	9	1.013
1145	4	1.011
1146	11	1.0107
1147	5	1.0088
1148	10	0.9991
1149	6	0.9986
1150	12	0.9977
1151	6	0.992
1152	3	0.9918
1153	5	0.9915
1154	9	0.9908
1155	4	0.9846
1156	4	0.9758
1157	2	0.962
1158	10	0.9583
1159	4	0.9526
1160	4	0.9499
1161	4	0.9294
1162	5	0.9201
1163	1	0.9166
1164	3	0.9153
1165	4	0.8961
1166	5	0.8961
1167	6	0.8584
1168	3	0.841
1169	6	0.8253
1170	3	0.8204
1171	3	0.8064
1172	11	0.7983
1173	9	0.7933
1174	3	0.7722
1175	4	0.7632
1176	9	0.7569
1177	11	0.7479
1178	8	0.745
1179	5	0.7442
1180	3	0.7414
1181	9	0.7256
1182	3	0.7246
1183	6	0.7237
1184	10	0.706
1185	11	0.7031
1186	11	0.7012
1187	3	0.6856
1188	1	0.6775
1189	3	0.6741
1190	5	0.6481
1191	4	0.6469
1192	5	0.6398
1193	4	0.6319
1194	4	0.6051
1195	6	0.5946
1196	1	0.59
1197	2	0.5779
1198	5	0.5617
1199	4	0.5579
1200	3	0.5571
1201	4	0.5507
1202	11	0.5198
1203	11	0.4952
1204	4	0.4789
1205	1	0.4755
1206	11	0.4654
1207	2	0.4619
1208	2	0.4525
1209	4	0.4449
1210	4	0.444
1211	4	0.4333
1212	6	0.4325
1213	3	0.4323
1214	3	0.4299
1215	4	0.4282
1216	1	0.4234
1217	2	0.4078
1218	2	0.4056
1219	11	0.3999
1220	5	0.3977
1221	12	0.397
1222	4	0.3957
1223	1	0.3948
1224	4	0.3879
1225	4	0.3872
1226	4	0.3858
1227	4	0.3855
1228	6	0.3842
1229	2	0.3797
1230	6	0.3643
1231	4	0.3642
1232	5	0.3641
1233	4	0.3628
1234	3	0.3584
1235	4	0.3551
1236	3	0.3417
1237	4	0.3313
1238	2	0.3307
1239	4	0.3081
1240	12	0.3079
1241	4	0.3067
1242	4	0.3028
1243	4	0.296
1244	4	0.2952
1245	6	0.2948
1246	4	0.2937
1247	3	0.2883
1248	4	0.2853
1249	4	0.2812
1250	4	0.2807
1251	3	0.2788
1252	4	0.2775
1253	7	0.2771
1254	4	0.2691
1255	4	0.2678
1256	3	0.2566
1257	6	0.2561
1258	4	0.2557
1259	4	0.2491
1260	2	0.2484
1261	3	0.247
1262	11	0.2464
1263	4	0.2445
1264	4	0.2418
1265	3	0.2389
1266	4	0.237
1267	3	0.2333
1268	3	0.2327
1269	4	0.2319
1270	1	0.2306
1271	2	0.2304
1272	3	0.228
1273	3	0.2267
1274	2	0.2231
1275	3	0.2229
1276	4	0.222
1277	4	0.2209
1278	2	0.2163
1279	1	0.2156
1280	4	0.2154
1281	4	0.2153
1282	10	0.2151
1283	4	0.2139
1284	4	0.2124
1285	4	0.2121
1286	1	0.2089
1287	1	0.2088
1288	3	0.2059
1289	4	0.2041
1290	4	0.2033
1291	3	0.2018
1292	2	0.2002
1293	2	0.2
1294	4	0.1984
1295	1	0.1975
1296	3	0.1968
1297	1	0.1967
1298	4	0.1955
1299	4	0.1934
1300	4	0.1915
1301	4	0.1912
1302	1	0.1906
1303	4	0.1898
1304	4	0.1873
1305	4	0.187
1306	2	0.1869
1307	3	0.1865
1308	3	0.1853
1309	4	0.1848
1310	4	0.1841
1311	10	0.1813
1312	4	0.1811
1313	4	0.1809
1314	4	0.1805
1315	4	0.1796
1316	4	0.1782
1317	3	0.1775
1318	4	0.1755
1319	12	0.175
1320	4	0.1735
1321	4	0.1723
1322	4	0.172
1323	12	0.1717
1324	2	0.1708
1325	3	0.1695
1326	1	0.1682
1327	2	0.1679
1328	4	0.1658
1329	2	0.1639
1330	2	0.1633
1331	2	0.163
1332	4	0.1628
1333	4	0.1608
1334	2	0.1607
1335	1	0.1602
1336	4	0.1593
1337	4	0.1564
1338	4	0.1563
1339	12	0.1562
1340	3	0.1561
1341	4	0.155
1342	1	0.1522
1343	3	0.1511
1344	2	0.1495
1345	4	0.1495
1346	4	0.1489
1347	4	0.1489
1348	3	0.1481
1349	1	0.1439
1350	3	0.1406
1351	4	0.14
1352	4	0.1396
1353	4	0.1393
1354	1	0.1392
1355	2	0.1383
1356	1	0.1374
1357	12	0.1367
1358	4	0.1367
1359	4	0.1365
1360	3	0.1359
1361	4	0.1356
1362	3	0.1351
1363	4	0.1349
1364	4	0.1341
1365	12	0.129
1366	1	0.1282
1367	4	0.1274
1368	1	0.1258
1369	1	0.1255
1370	3	0.1251
1371	12	0.1244
1372	1	0.124
1373	4	0.123
1374	2	0.12
1375	4	0.12
1376	1	0.1197
1377	4	0.119
1378	12	0.1179
1379	3	0.1178
1380	1	0.1176
1381	1	0.1145
1382	2	0.114
1383	2	0.1138
1384	12	0.1137
1385	2	0.1135
1386	10	0.1121
1387	2	0.1107
1388	2	0.1106
1389	2	0.1097
1390	12	0.108
1391	4	0.1076
1392	1	0.1075
1393	1	0.1073
1394	3	0.1061
1395	3	0.1056
1396	1	0.1049
1397	1	0.1038
1398	3	0.1036
1399	2	0.1034
1400	3	0.1032
1401	1	0.1028
1402	4	0.1025
1403	4	0.1024
1404	1	0.1015
1405	2	0.1015
1406	1	0.1011
1407	2	0.1009
1408	3	0.1009
1409	3	0.1006
1410	1	0.1
1411	2	0.0998
1412	2	0.0996
1413	7	0.0987
1414	12	0.097
1415	4	0.0969
1416	2	0.0966
1417	1	0.0962
1418	12	0.0952
1419	4	0.095
1420	2	0.0948
1421	4	0.0945
1422	2	0.0943
1423	3	0.0938
1424	3	0.0934
1425	2	0.0932
1426	2	0.0927
1427	12	0.0914
1428	1	0.0897
1429	3	0.0893
1430	12	0.089
1431	1	0.089
1432	3	0.0884
1433	12	0.0881
1434	4	0.088
1435	3	0.0879
1436	2	0.0874
1437	12	0.0859
1438	1	0.0855
1439	1	0.0833
1440	1	0.0812
1441	12	0.081
1442	10	0.0807
1443	12	0.0807
1444	2	0.0806
1445	6	0.0804
1446	3	0.0802
1447	2	0.0794
1448	2	0.0789
1449	2	0.0777
1450	12	0.0759
1451	2	0.073
1452	2	0.0711
1453	1	0.0707
1454	3	0.0704
1455	1	0.0693
1456	12	0.0688
1457	1	0.068
1458	1	0.0665
1459	2	0.0649
1460	3	0.0647
1461	12	0.0639
1462	2	0.0613
1463	1	0.0608
1464	2	0.0607
1465	4	0.0602
1466	1	0.0597
1467	1	0.0592
1468	2	0.0591
1469	4	0.0585
1470	11	0.0583
1471	2	0.0572
1472	4	0.0571
1473	12	0.0563
1474	12	0.0556
1475	12	0.0546
1476	12	0.0543
1477	2	0.054
1478	2	0.0519
1479	1	0.0511
1480	1	0.05
1481	12	0.0497
1482	1	0.0462
1483	4	0.0458
1484	4	0.0457
1485	12	0.0456
1486	10	0.0451
1487	1	0.0427
1488	3	0.0423
1489	1	0.0422
1490	2	0.0422
1491	12	0.0409
1492	12	0.0395
1493	12	0.0394
1494	1	0.0381
1495	1	0.0372
1496	12	0.0364
1497	2	0.0356
1498	3	0.0333
1499	11	0.0327
1500	12	0.0321
1501	4	0.0314
1502	1	0.0311
1503	12	0.0309
1504	10	0.0297
1505	1	0.0279
1506	2	0.0275
1507	1	0.0273
1508	12	0.0271
1509	12	0.0233
1510	2	0.023
1511	12	0.0224
1512	2	0.0222
1513	12	0.0208
1514	2	0.0198
